word_raw,count
lap,261
loving,8
fighting,64
kevin,29
bikes,24
march,37
without,283
bonnie,37
awful,144
themselves,82
dreams,69
genter,1
blast,12
speed,21
fike,1
winter,146
jelly,160
longer,161
prayers,33
nursed,6
cotton,30
runaway,7
sesame,87
halloween,119
ducks,171
groceries,41
natural,23
hyraxes,24
dumptruck,44
holds,43
triangles,14
jay,69
millions,109
pad,59
mushroom,37
whisper,33
ocean,125
watermelon,243
kim,71
saturn,22
gordon,72
musical,22
surprised,120
convertible,5
fluff,24
understood,8
weeks,369
spice,11
correctly,7
daniel,73
matches,62
meant,89
cutting,105
passengers,112
lays,7
hoo,121
hurts,154
